epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,432.689,1.71194,0.93545,0.91616,0.94113,0.82687,0.93613,0.37904,1.98666,1.5535,0.97993,0.000213036,0.000213036,0.000213036
88,437.569,1.82459,0.97447,0.90685,0.93543,0.8361,0.93128,0.39934,1.9425,1.46496,0.97242,0.000201155,0.000201155,0.000201155
89,442.372,1.75302,0.96082,0.94213,0.93543,0.8361,0.93128,0.39934,1.9425,1.46496,0.97242,0.000188944,0.000188944,0.000188944
90,447.233,1.74772,1.00277,0.90861,0.93543,0.8361,0.93128,0.39934,1.9425,1.46496,0.97242,0.000176404,0.000176404,0.000176404
91,451.856,1.88238,1.08141,1.0039,0.93543,0.8361,0.93128,0.39934,1.9425,1.46496,0.97242,0.000163533,0.000163533,0.000163533
92,456.512,1.72629,1.20258,0.93545,0.92316,0.87172,0.92905,0.40702,1.9072,1.36334,0.96892,0.000150332,0.000150332,0.000150332
93,461.056,1.80018,1.14333,0.97552,0.92316,0.87172,0.92905,0.40702,1.9072,1.36334,0.96892,0.000136801,0.000136801,0.000136801
94,465.609,1.71274,1.06501,0.94566,0.92316,0.87172,0.92905,0.40702,1.9072,1.36334,0.96892,0.00012294,0.00012294,0.00012294
95,470.288,1.74793,1.03843,0.94596,0.92316,0.87172,0.92905,0.40702,1.9072,1.36334,0.96892,0.000108748,0.000108748,0.000108748
96,474.915,1.74969,1.07312,0.95108,0.92616,0.90577,0.9339,0.41406,1.90433,1.27369,0.96834,9.42272e-05,9.42272e-05,9.42272e-05
97,479.511,1.74992,1.1643,0.94584,0.92616,0.90577,0.9339,0.41406,1.90433,1.27369,0.96834,7.93759e-05,7.93759e-05,7.93759e-05
98,484.031,1.6592,0.98206,0.95058,0.92616,0.90577,0.9339,0.41406,1.90433,1.27369,0.96834,6.41945e-05,6.41945e-05,6.41945e-05
99,488.643,1.6961,1.00796,0.96038,0.92616,0.90577,0.9339,0.41406,1.90433,1.27369,0.96834,4.86831e-05,4.86831e-05,4.86831e-05
100,493.203,1.70268,1.0247,0.97097,0.92969,0.91441,0.93397,0.41402,1.90887,1.20045,0.96908,3.28416e-05,3.28416e-05,3.28416e-05
