timestamp,poi,x,y,z,qw,qx,qy,qz,vx,vy,vz,roll,pitch,yaw,gimbal_pitch,radio_min,radio_max
930999327,0,-0.428355,-0.891089,0.4342,0.582865,0.00580739,-0.00917044,0.812496,0.000978283,-0.000773846,0.00379086,-0.00813379,-0.0201286,1.89709,0.0201482,0,0
931030345,0,-0.428388,-0.891144,0.434192,0.582871,0.00586111,-0.00917032,0.812492,-0.00147934,0.000335705,0.000615054,-0.00807082,-0.0202158,1.89707,0.0201961,0,0
931059372,0,-0.428247,-0.891099,0.43413,0.582845,0.00581673,-0.00919265,0.812511,-0.000222899,-0.00472973,-0.00110343,-0.0081595,-0.0201694,1.89714,0.0201961,0,0
931097944,0,-0.428081,-0.891041,0.43409,0.58287,0.00575487,-0.00926012,0.812492,0.000635241,-0.00485893,-0.00137855,-0.00834065,-0.0201478,1.89708,0.0201268,0,0
931130729,0,-0.428142,-0.891029,0.434048,0.582879,0.00582665,-0.00924221,0.812485,0.000614138,0.000297911,-0.00132851,-0.00822763,-0.0202437,1.89705,0.0202437,0,0
931160143,0,-0.428099,-0.891086,0.433998,0.582835,0.0058355,-0.00913654,0.812518,-0.0016233,-0.00207002,-0.0011877,-0.00804667,-0.0201344,1.89716,0.0202437,0,0
931198388,0,-0.428105,-0.891092,0.434012,0.582868,0.00577645,-0.00923091,0.812494,0.000331765,0.000235771,0.0011728,-0.00826807,-0.0201488,1.89708,0.0201,0,0
931230414,0,-0.428105,-0.891092,0.434012,0.582868,0.00577645,-0.00923091,0.812494,0.000331765,0.000235771,0.0011728,-0.00826807,-0.0201488,1.89708,0.0201,0,0
931260391,0,-0.428105,-0.891092,0.434012,0.582868,0.00577645,-0.00923091,0.812494,0.000331765,0.000235771,0.0011728,-0.00826807,-0.0201488,1.89708,0.0202627,0,0
931299071,0,-0.428324,-0.89108,0.43399,0.582848,0.00581423,-0.00912964,0.812509,0.00238543,0.00107178,-0.000579365,-0.00805993,-0.020092,1.89713,0.020092,0,0
